centro_negocio_id,centro_negocio
CEN_ACCIONA_8A0491C6DE,ACCIONA
CEN_ACERCAMIENTOS_SPL_ACF_F535219B8E,ACERCAMIENTOS SPL/ACF
CEN_ACF_17FF4BAF36,ACF
CEN_ADMINISTRACION_C55F0EA476,ADMINISTRACION
CEN_ADQUISICION_61B89FBFF5,ADQUISICION
CEN_ADQUISICIONES_8A7E461383,ADQUISICIONES
CEN_ADUANA_521D929283,ADUANA
CEN_ALGORTA_89350141B6,ALGORTA
CEN_APOYO_MICHILLA_8D1E90D097,APOYO MICHILLA
CEN_ARAMARK_76202BE666,ARAMARK
CEN_ASEO_71276CE187,ASEO
CEN_AXINNTUS_B56A540BB9,AXINNTUS
CEN_BAILAC_0BA8245EAE,BAILAC
CEN_BESALCO_MINERIA_S_A_67CDA0B766,BESALCO MINERIA S.A
CEN_CMDIC_30B212CAB3,CMDIC
CEN_COLLARTE_MICHILLA_C9405EB4D1,COLLARTE MICHILLA
CEN_DGAC_8D2039E5D6,DGAC
CEN_ENAEX_MICHILLA_B83358219D,ENAEX MICHILLA
CEN_ENEL_B8BCE92D35,ENEL
CEN_ENEL_ADMINISTRATIVO_EF9DE9D65C,ENEL ADMINISTRATIVO
CEN_ENEL_OPERACIONES_3BE86666C6,ENEL OPERACIONES
CEN_ENEX_A197A507CF,ENEX
CEN_EQUANS_4EF1AD8293,EQUANS
CEN_EQUANS_BIO_BIO_862DFD9D27,EQUANS BIO BIO
CEN_EQUANS_CENTINELLA_2F58BE91F8,EQUANS CENTINELLA
CEN_EQUANS_ENEL_42CC3557C0,EQUANS ENEL
CEN_EQUANS_ENGIE_99738BF8EF,EQUANS ENGIE
CEN_EQUANS_GENER_C37C464E19,EQUANS GENER
CEN_EQUANS_LOMAS_BAYAS_EDEDD652F5,EQUANS LOMAS BAYAS
CEN_FAMAE_CDE33D8BE0,FAMAE
CEN_GERENCIA_E901745F34,GERENCIA
CEN_HINTEK_3EC3B1BDD4,HINTEK
CEN_HIT_SOLEDAD_151A6F53A2,HIT SOLEDAD
CEN_LATAM_5A620CE2C4,LATAM
CEN_LUAGHER_EDCF47CE16,LUAGHER
CEN_MANTENCION_3FA6E0B215,MANTENCION
CEN_MAXAM_8618B5AEF6,MAXAM
CEN_MDP_C7D6801DF7,MDP
CEN_MICHILLA_161662E321,MICHILLA
CEN_MINERA_HMC_S_A_DD0C7DA0C5,MINERA HMC S.A.
CEN_MOR_A42489B055,MOR
CEN_OPERACIONES_A42E368019,OPERACIONES
CEN_PERSONAL_ADMINISTRATIVO_DA55F6DB0D,PERSONAL ADMINISTRATIVO
CEN_PERSONAL_MANTENCION_7676B47FDE,PERSONAL MANTENCION
CEN_PODIUM_D667F6BE50,PODIUM
CEN_R_Y_Q_INGENIERIA_S_A_9045CBB38E,R Y Q INGENIERIA S A
CEN_REL_FINIQUITO_3FC0913BF6,REL. FINIQUITO
CEN_RIMO_MICHILLA_E61984F407,RIMO MICHILLA
CEN_SERVEO_DC613A3D47,SERVEO
CEN_SKY_65B5966C26,SKY
CEN_SPL_4A5EB497CB,SPL
CEN_TGN_38BCEF80FD,TGN
CEN_TMA_MICHILLA_4CFF2B1A16,TMA MICHILLA
CEN_TRANSPORTE_20FDF2C89F,TRANSPORTE
CEN_VECCHIOLA_81136F1794,VECCHIOLA
CEN_WESTFIRE_46722C4A78,WESTFIRE
