tipo_contratacion,tipo_trabajador,cargo
FIJO,ACTIVO,ADMINISTRATIVO CONTABLE
FIJO,ACTIVO,ANALISTA DE REMUNERACIONES
FIJO,ACTIVO,ASEADOR
FIJO,ACTIVO,ASEASOR
FIJO,ACTIVO,ASESOR DE PREVENCION DE RIESGOS
FIJO,ACTIVO,ASESOR PREVENCIÓN DE RIESGO
FIJO,ACTIVO,ASISTENTE ADMINISTRATIVO
FIJO,ACTIVO,ASISTENTE OPERACIONES
FIJO,ACTIVO,AYUDANTE MANTENCION
FIJO,ACTIVO,CHOFER DE VEHICULOS MOTORIZADOS Y MANTENCION
FIJO,ACTIVO,CONDUCTOR
FIJO,ACTIVO,ELECTROMECANICO
FIJO,ACTIVO,ENCARGADA DE FACTURACION Y COBRANZA
FIJO,ACTIVO,ENCARGADA DE RELACIONES LABORALES
FIJO,ACTIVO,ENCARGADA RRHH
FIJO,ACTIVO,ENCARGADO SALA DE MONITOREO
FIJO,ACTIVO,ESTAFETA
FIJO,ACTIVO,GERENTE DE INGENIERIA Y MANTENIMIENTO
FIJO,ACTIVO,JEFE CUMPLIMIENTO LABORAL
FIJO,ACTIVO,JEFE DE PREVENCION
FIJO,ACTIVO,JEFE DE RECURSOS HUMANOS
FIJO,ACTIVO,MECANICO
FIJO,ACTIVO,PLANIFICADOR Y COORDINADOR DE OPERACIONES
FIJO,ACTIVO,PREVENCIONISTA DE RIESGO
FIJO,ACTIVO,SUPERVISOR DE MANTENCIÓN
FIJO,ACTIVO,SUPERVISOR OPERACIONES
FIJO,PENSIONADO Y NO COTIZA,CHOFER DE VEHICULOS MOTORIZADOS Y MANTENCION
FIJO,PENSIONADO Y NO COTIZA,CONDUCTOR
INDEFINIDO,ACTIVO,ADMINISTRADOR DE CONTRATO
INDEFINIDO,ACTIVO,ADMINISTRADOR DE CONTRATOS
INDEFINIDO,ACTIVO,ADMINISTRATIVA MANTENCION
INDEFINIDO,ACTIVO,ADMINISTRATIVO
INDEFINIDO,ACTIVO,ADMINISTRATIVO CONTABLE
INDEFINIDO,ACTIVO,ADMINISTRATIVO MANTENCION
INDEFINIDO,ACTIVO,ASEADOR
INDEFINIDO,ACTIVO,ASEADORA
INDEFINIDO,ACTIVO,ASEASOR
INDEFINIDO,ACTIVO,ASESOR PREVENCIÓN DE RIESGO
INDEFINIDO,ACTIVO,ASISTENTE
INDEFINIDO,ACTIVO,ASISTENTE PREVENCION DE RIESGOS
INDEFINIDO,ACTIVO,AYUDANTE MANTENCION
INDEFINIDO,ACTIVO,BODEGUERO
INDEFINIDO,ACTIVO,BOMBERO
INDEFINIDO,ACTIVO,CARROCERO
INDEFINIDO,ACTIVO,CARROCERO PINTOR Y DESABOLALDOR
INDEFINIDO,ACTIVO,CARROCERO PINTOR Y DESABOLLADOR
INDEFINIDO,ACTIVO,CHOFER DE VEHICULOS MOTORIZADOS Y MANTENCION
INDEFINIDO,ACTIVO,CONDUCTOR
INDEFINIDO,ACTIVO,CONDUCTOR ESCOLTA
INDEFINIDO,ACTIVO,CONTADOR
INDEFINIDO,ACTIVO,ELECTROMECANICO
INDEFINIDO,ACTIVO,ENCARGADA DE FACTURACION Y COBRANZA
INDEFINIDO,ACTIVO,ENCARGADA DE PEAJES
INDEFINIDO,ACTIVO,ENCARGADA DE RELACIONES LABORALES
INDEFINIDO,ACTIVO,ENCARGADA RRHH
INDEFINIDO,ACTIVO,ENCARGADO COMBUSTIBLE
INDEFINIDO,ACTIVO,ENCARGADO DE ADQUISICIONES
INDEFINIDO,ACTIVO,ENCARGADO SALA DE MONITOREO
INDEFINIDO,ACTIVO,GERENTE ADMINISTRACION Y FINANZAS
INDEFINIDO,ACTIVO,GERENTE DE INGENIERIA Y MANTENIMIENTO
INDEFINIDO,ACTIVO,GERENTE DE OPERACIONES
INDEFINIDO,ACTIVO,GERENTE DE PLANIFICACIÓN Y CONTROL DE GESTIÓN
INDEFINIDO,ACTIVO,JEFE DE ADQUISICIONES
INDEFINIDO,ACTIVO,JEFE DE MANTENCION
INDEFINIDO,ACTIVO,JEFE DE PREVENCION
INDEFINIDO,ACTIVO,JEFE DE RECURSOS HUMANOS
